Merging the first and second columns, and adding the merged column an ".Ti=" or ".sec=" after the number.

"1.Ti=Communication à des tiers ",,,,,
"1.1.sec=pas de communication à des tiers ",,"won't share you data with third parties","Aucune communication des données personnelles aux tiers ",
"1.2.sec=communication aux autorités sur la base des obligations légales","WhatApp, Viber ou Canal + ","won't share information to a requesting authority without a legal basis",,
"1.3.sec=collecte opt-in pour sollicitation commerciale sauf pour produits et services équivalents","Vente privée, Deezer, Groupon, Blablacar, Adopte un mec ",,,
"1.4.sec=communication  à des tiers   sous forme agrégées et anonymisées  ","Trip Advisor et 8 Tracks ","enables third-party advertisers to target you by default ","Transmission à des tiers de données anonymisées "," Third-party use/ AD networks"
"1.5.sec=communication à des tiers en fonction des paramétrages du compte décidés par l'utilisateur","Twitter, Viadeo, Skype",,," Third-party use"
"1.6.sec=communication à des tiers prédéterminés et énumérés",,"can share your personal information with other parties ",," Third-party use"
"1.7.sec=communication à des tiers  avec restrictions liées aux destinataires ( fournisseurs et filiales)  ","Airbnb, Microsoft, Rue du Commerce, Go Voyage ou Uber ","can share your personal information with other parties ",," Third-party use"
"1.8.sec=communication à des tiers avec restrictions liés  aux secteurs d'activité  ","Trip Advisor, Allo Resto ","enables third-party advertisers to target you by default / can share your personal information with other parties ",," Third-party use/ AD networks ( si AD)"
"1.9.sec=Communication des DP à des tiers pour marketing direct","Apple, Couchsurfing, Kayak, Instagram,  ","reserve the right to disclose personal info, no notification",," Third-party use/ AD networks"
"2.Ti=Viralité des conditions de réutilisation des données personnelles par les tiers ",,,,,
"2.1.sec=pas de communication à des tiers ",,"won't share you data with third parties",,
"2.2.sec=Engagement sur la viralité des conditions ","TomTom , Amazon , Google, PayPal, Twitter et Skype ",,,"Third-party use "
"2.3.sec=Engagement sur la viralité des conditions uniquement pour les prestataires de services ","Groupon, Canal +, Rue du Commerce",,,"Third-party use "
"2.4.sec=pas d'engagement sur la viralité des conditions , soumission à des obligations contractuelles spécifiques","AirbnB , Booking, Instagram, Blizzard, Spotify ( Facebook), ",,,"Third-party use "
"2.5.sec=pas d'engagement sur la viralité","Apple ","may transfer and process your data to somewhere outside of your country ",,"Third-party use "
"3.Ti=Information préalable pour la communication des données personnelles à des tiers en cas de fusion / absorption",,,,,
"3.1.sec=collecte Opt-In préalable à la transmission en cas de fusion/ acquisition",,,,
"3.2.sec=information préalable  avant  la fusion/ acquisition ","Airbnb, eBay, HomeBubble ","You can give comments before changes ",,
"3.3.sec=information préalable  avec possibilité Opt-Out avant et après  la fusion/ acquisition ","Medium et Dropbox , MyKolab.com","4 weeks to review changes and possibility to negotiate ",,
"3.4.sec=Pas d’information préalable transmission en cas de fusion mais exigence respect politique confidentialité ","Viber "," may sell user data as part of a business transfer + Personal information can be disclosed in case of business transfer or insolvency + does not notify users before being involved in a merger, sale, or acquisition ",,
